Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 442153538 ms 
Sampling frequency: 26757 Hz 
Units: m/s^2
Data:
-8.2013998 -6.0370917 0.1555335 
-8.1906319 -6.0993052 0.1938186 
-8.0937223 -6.2811594 0.2440679 
-8.0255270 -6.1483579 0.2356930 
-8.1080799 -6.0957155 0.4175476 
-8.0781689 -6.1627145 0.3421736 
-8.0159559 -6.1351972 0.1866402 
-7.9441710 -6.1627145 0.1244268 
-8.0733833 -6.1710896 0.0921237 
-8.1332045 -6.1256261 0.1938186 
-8.1355972 -6.1016979 0.1447658 
-8.0889368 -6.0957155 0.1339981 
-7.9740815 -6.0801625 0.2177469 
-8.0817585 -6.1148582 0.3314059 
-8.1152582 -6.1519470 0.3541377 
-8.0781689 -6.1375899 0.2069792 
-8.1092758 -6.2416778 0.2225325 
-8.0255270 -6.2093749 0.1651048 
-7.8771720 -6.1040907 -0.0035892 
-8.0709906 -6.1734824 0.0538385 
-8.0913296 -6.1543398 0.0921237 
-7.9106717 -6.0179491 0.1232304 
-8.0602226 -6.1435723 0.2488535 
-8.0913296 -6.1914287 0.2225325 
-8.0015993 -6.1411791 0.0981057 
-8.1284189 -6.2285175 0.2608177 
-8.1547394 -6.1351972 0.2871387 
-8.0159559 -6.0610199 0.2093720 
-8.0446701 -6.0957155 0.2871387 
-8.0781689 -6.0897336 0.2799602 
-7.9034934 -6.0825553 0.3349952 
-7.9896350 -6.2129641 0.4283153 
-8.1020975 -6.1280189 0.2440679 
-7.9525461 -6.0454664 0.0167498 
-8.0398836 -6.1459651 0.0921237 
-8.1152582 -6.1567326 0.2560320 
-8.0733833 -6.1411791 0.2691925 
-8.0997047 -6.1172509 0.1782653 
-8.1367931 -6.0981083 0.1986043 
-7.9848490 -6.1435723 0.2273182 
-7.8891363 -6.0969119 0.2632105 
-7.9788671 -6.0299129 0.3002992 
-8.0913296 -6.1351972 0.2895315 
-8.0829554 -6.1758752 0.2584248 
-8.0350981 -6.1016979 0.2297110 
-8.1320076 -6.0634127 0.2488535 
-8.0518484 -6.0454664 0.1782653 
-8.0709906 -6.1483579 0.2715854 
-8.1080799 -6.1962142 0.2955136 
-8.0554371 -6.2045889 0.1076770 
-8.0554371 -6.1483579 0.0849452 
-7.9812598 -6.1220369 0.1734796 
-7.9944205 -6.1914287 0.1806581 
-8.0757761 -6.2129641 0.1962115 
-8.0075808 -6.1698933 0.2847459 
-7.9597244 -6.0299129 0.2823531 
-7.9896350 -5.9868422 0.1339981 
-7.9585280 -6.0454664 0.0526421 
-8.0123663 -6.0586271 0.1890330 
-8.0279198 -6.1112690 0.4127619 
-8.0446701 -6.1878395 0.4307081 
-8.1391859 -6.1435723 0.2799602 
-8.0973120 -6.1483579 0.2847459 
-8.0709906 -6.1543398 0.2249253 
-8.1044903 -6.0849481 0.1447658 
-8.0554371 -6.0526447 0.1268196 
-8.1188469 -6.0981083 0.1543371 
-8.1439714 -6.0670018 0.0837488 
-8.1344004 -6.1196437 0.0825524 
-8.1080799 -6.1040907 0.2297110 
-8.0291166 -6.0191455 0.2344966 
-8.0913296 -6.0586271 0.1363909 
-8.0578299 -6.0681982 0.1962115 
-8.0638123 -6.1543398 0.2979064 
-8.0255270 -6.1016979 0.2297110 
-7.9788671 -6.0849481 0.1962115 
